institution,location,country,website,status
Osun State University,Osogbo,Nigeria,http://www.uniosun.edu.ng/,Full Member
Pan African Institute For Development - West Africa (paid-wa),Buea,Cameroon,https://www.paidafrica.org/paidwa,Full Member
Pan African University,Tlemcen,Ethiopia,https://pau-au.net/en/,Full Member
Pan-atlantic University,Lekki,Nigeria,http://www.pau.edu.ng,Full Member
Pentecost University,Accra,Ghana,https://www.pentvars.edu.gh,Full Member
Pharos University,Alexandria,Egypt,https://www.pua.edu.eg/,Full Member
Pigier Côte D'ivoire,Abidjan 01,Côte D'ivoire,https://www.pigierci.com,Full Member
Plasma University,Mogadishu,Somalia,https://plasmauniversity.net,Full Member
Poma International Business University,Igolo,Benin,http://pomauniversity.com/,Full Member
Presbyterian University College,Abetifi-kwahu,Ghana,http://www.presbyuniversity.edu.gh/,Full Member
Puntland State University,Garowe,Somalia,https://puntlandstateuniversity.com,Associate Member
Radford University College,Accra,Ghana,http://www.radforduc.edu.gh,Associate Member
Red Sea University,Port Sudan,Sudan,http://rsu.edu.sd,Full Member
"Red Sea University, Somalia",Puntland,Somalia,https://rsu.edu.so/,Full Member
"Redeemer's University (rccg, Run)",Mowe,Nigeria,https://run.edu.ng/,Full Member
Regent University College Of Science And Technology,Accra,Ghana,https://regent.edu.gh/,Full Member
Regional Maritime University,Accra,Ghana,http://www.rmu.edu.gh,Full Member
Rhodes University,Grahamstown 6140,South Africa,http://www.ru.ac.za,Full Member
Rivers State University Of Science & Technology,Port Harcourt,Nigeria,https://www.rsu.edu.ng/,Full Member
Rusangu University,Monze,Zambia,http://ru.edu.zm/,Full Member
Sebha University,Sebha,Libya,http://www.sebhau.edu.ly,Full Member
Sefako Makgatho Health Sciences University,Pretoria,South Africa,https://purerims.smu.ac.za,Full Member
Simad University,Mogadishu,Somalia,https://simad.edu.so/,Associate Member
Sokoine University Of Agriculture,Morogoro,Tanzania,http://www.suanet.ac.tz/,Full Member
Solusi University,Bulawayo,Zimbabwe,https://www.solusi.ac.zw/,Full Member
Somali International University,Mogadishu,Somalia,https://siu.edu.so,Full Member
South Eastern Kenya University,"Kitui, Kenya",Kenya,https://www.seku.ac.ke,Associate Member
South Valley University,Kena,Egypt,https://www.svu.edu.eg,Full Member
Southern African Nazarene University,Manzini,Eswatini,https://www.sanu.ac.sz/,Full Member
St Augustine University,Mwanza,Tanzania,http://www.saut.ac.tz,Full Member
St. Mary’s University,Addis Ababa,Ethiopia,https://www.smuc.edu.et,Full Member
Stella Maris Polytechnic University,Monrovia,Liberia,http://smp.edu.lr,Full Member
Strathmore University,Nairobi,Kenya,https://www.strathmore.edu,Full Member
Sudan Academy Of Sciences,Khartoum 2,Sudan,http://www.sas.edu.sd/,Full Member
Sudan International University,Khartoum,Sudan,http://www.siu-sd.com,Full Member
Sudan University Of Science And Technology,Khartoum,Sudan,http://www.sustech.edu/,Full Member
Suez Canal University,Ismailia,Egypt,http://scuegypt.edu.eg/en/,Full Member
Sule Lamido University,Jigawa,Nigeria,https://slu.edu.ng,Full Member
Supershine University,Lusaka,Zambia,http://www.supershineuniversity.net/,Associate Member
Takoradi Technical University,Takoradi,Ghana,https://ttu.edu.gh/,Full Member
Tamale Technical University,Tamale,Ghana,https://tatu.edu.gh/,Full Member
Tanta University,Tanta,Egypt,https://www.tanta.edu.eg/,Full Member
Texila American University,Lusaka,Zambia,https://zm.tauedu.org,Associate Member
The American University In Cairo,Cairo,Egypt,https://www.aucegypt.edu,Full Member
The British University In Egypt,Cairo,Egypt,https://www.bue.edu.eg/,Full Member
The Catholic University Of Eastern Africa,Nairobi,Kenya,https://www.cuea.edu,Full Member
The Egyptian E-learning University,Giza,Egypt,http://www.eelu.edu.eg,Full Member
The Future University,Khartoum,Sudan,http://fu.edu.sd,Associate Member
The Nelson Mandela African Institution Of Science And Technology Nm-ast,Arusha,Tanzania, https://www.nm-aist.ac.tz,Full Member
The Open University Of Tanzania,Dar Es Salaam,Tanzania,http://www.out.ac.tz/,Full Member
Tumaini University Makumira (tuma),Arusha,Tanzania,https://makumira.ac.tz,Full Member
Uganda Christian University,Mukono,Uganda,http://www.ucu.ac.ug,Full Member
Uganda Management Institute,Kampala,Uganda,http://www.umi.ac.ug/,Full Member
Uganda Martyrs University,Kampala,Uganda,http://www.umu.ac.ug,Full Member
Uganda Technology And Management University,Kampala,Uganda,https://utamu.ac.ug,Full Member
Umaru Musa Yar'adua University,Katsina,Nigeria,https://umyu.edu.ng,Full Member
Umma University,Kajiado,Kenya,http://www.umma.ac.ke,Associate Member
"Unicaf University , Malawi","Lilongwe, Malawi",Malawi,https://unicafuniversity.com/,Full Member
"Unicaf University, Zambia",Lusaka,Zambia,https://unicafuniversity.ac.zm/,Full Member
Uniersity Of Sinnar,Khartoum,Sudan,http://uofs.edu.sd,Full Member
United Methodist University,Monrovia 10,Liberia,https://umu.edu.lr,Full Member
Universidade Agostinho Neto,Luanda,Angola,http://www.uan.ao/,Full Member
Universidade Catolica De Mozambique (ucm),Palmeiras,Mozambique,http://www.ucm.ac.mz,Full Member
Universidade Eduardo Mondlane,Maputo 257,Mozambique,http://www.uem.mz/index.php,Full Member
Universidade Jean Piaget De Cabo Verde,Praia,Cape Verde,http://www.unipiaget.cv/,Associate Member
Universidade Joaquim Chissano,Mapuro,Mozambique,https://ujc.ac.mz/,Full Member
Universidade Pedagogica,Maputo,Mozambique,https://www.up.ac.mz,Full Member
Universidade óscar Ribas,Luanda,Angola,https://uor.ed.ao/,Full Member
Universite Aube Nouvelle,Ouagadougou,Burkina Faso,http://u-auben.com,Associate Member
Universite Badji Mokhtar D'annaba,Annaba 23000,Algeria,http://www.univ-annaba.org,Full Member
Universite Des Sciences Et De La Technologie Houari Boumediene (usthb),Algiers 16123,Algeria,https://fei.usthb.dz,Full Member
Universite Simon Kimbangu,Kinshasa,Dr Congo,Not Available,Full Member
Universite Tertiaire Et Technologique Lokko,,Cote D’ivoire,http://mrs4.hosteur.com/~group546/,Full Member
University For Development Studies,Tamale,Ghana,http://www.uds.edu.gh,Full Member
University Of Abuja,"Abuja, Fed. Capital Territory",Nigeria,http://uniabuja.edu.ng/,Full Member
"University Of Agriculture, Makurdi",Makurdi,Nigeria,https://uam.edu.ng,Full Member
University Of Aljabel El Garbi,Gharian,Libya,Not Available,Full Member
University Of Asmara,Asmara,Eritrea,http://www.uoa.edu.er/,Full Member
