,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
185,Meru University Of Science And Technology,"Meru, Kenya",Kenya,https://www.must.ac.ke/,Full Member,"(0.1348854, 37.7083752, 0.0)",0.1348854,37.7083752,0,POINT (37.7083752 0.1348854)
186,Methodist University College,"Accra, Ghana",Ghana,http://www.mucg.edu.gh,Full Member,"(5.5675853, -0.2613827, 0.0)",5.5675853,-0.2613827,0,POINT (-0.2613827 5.5675853)
187,"Michael Okpara University Of Agriculture, Umudike","Umudike Rd, 440101, Umudike, Abia, Nigeria",Nigeria,http://mouau.edu.ng/,Full Member,"(5.480685299999999, 7.5456896, 0.0)",5.4806853,7.5456896,0,POINT (7.5456896 5.480685299999999)
188,Midlands State University,"Senga Road, Gweru, Zimbabwe",Zimbabwe,https://ww5.msu.ac.zw/,Full Member,"(-19.4845308, 29.8352841, 0.0)",-19.4845308,29.8352841,0,POINT (29.8352841 -19.4845308)
189,Minia University,"مبنى الادارة _جامعة المنيا، Damaris, Minya, Menia Governorate 2431436, Egypt",Egypt,http://www.minia.edu.eg/,Full Member,"(28.1229178, 30.734723, 0.0)",28.1229178,30.734723,0,POINT (30.734723 28.1229178)
190,Misr University For Science & Technology,"26th of July Corridor, First 6th of October, Giza Governorate 3236101, Egypt",Egypt,http://www.must.edu.eg,Full Member,"(29.99660149999999, 30.9654429, 0.0)",29.9966015,30.9654429,0,POINT (30.9654429 29.99660149999999)
191,Misurata University,"93FH+66F, Misrata, Libya",Libya,http://www.misuratau.edu.ly/,Full Member,"(32.3730537, 15.0780589, 0.0)",32.3730537,15.0780589,0,POINT (15.0780589 32.3730537)
192,"Modibbo University Of Technology, Yola",,Nigeria,http://www.futy.edu.ng/,Full Member,"(9.8150095,12.5329172,0.0)",9.8150095,12.5329172,0,POINT (12.5329172 9.8150095)
193,Mogadishu University,"Jidka Jaamacadda, Mogadishu, Somalia",Somalia,http://www.mogadishuuniversity.com,Full Member,"(2.1104633, 45.339903, 0.0)",2.1104633,45.339903,0,POINT (45.339903 2.1104633)
194,Mohammed Vi Polytechnic University,"Lot 660، بن جرير 43150, Morocco",Morocco,https://www.um6p.ma/,Full Member,"(32.220055, -7.9359024, 0.0)",32.220055,-7.9359024,0,POINT (-7.9359024 32.220055)
195,Moi University,,Kenya,http://www.mu.ac.ke,Full Member,"(-1.7719543,36.1517339,0.0)",-1.7719543,36.1517339,0,POINT (36.1517339 -1.7719543)
196,Mount Kenya University,"General Kago Rd, Thika, Kenya",Kenya,http://www.mku.ac.ke/,Full Member,"(-1.044816, 37.08236369999999, 0.0)",-1.044816,37.0823637,0,POINT (37.08236369999999 -1.044816)
197,Mountain Top University,"Beside MFM Prayer City Lagos-Ibadan Express Way Ogun State Obafemi-Owode, LGA, 110106, Ibafo, Ogun State, Nigeria",Nigeria,https://www.mtu.edu.ng,Full Member,"(6.729194199999999, 3.4126303, 0.0)",6.7291942,3.4126303,0,POINT (3.4126303 6.729194199999999)
198,Muhimbili University Of Health & Allied Science,"United Nations Rd, Dar es Salaam, Tanzania",Tanzania,http://www.muchs.ac.tz/,Full Member,"(-6.807861, 39.27326, 0.0)",-6.807861,39.27326,0,POINT (39.27326 -6.807861)
199,Multimedia University Of Kenya,"Ongata Rongai, Magadi, Kenya",Kenya,https://www.mmu.ac.ke,Full Member,"(-1.382264, 36.76848, 0.0)",-1.382264,36.76848,0,POINT (36.76848 -1.382264)
200,Mulungushi University,"HC2W+J64, Kabwe, Zambia",Zambia,http://www.mu.ac.zm/,Associate Member,"(-14.4484944, 28.4455837, 0.0)",-14.4484944,28.4455837,0,POINT (28.4455837 -14.4484944)
